Borough,Days Needed to Resolve Complaint,Community Board,Descriptor,Action Taken,Open Data Channel Type
BRONX,1,02 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
BROOKLYN,0,05 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,1,15 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
QUEENS,0,01 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,05 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,06 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,2,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,04 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,06 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,3,07 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,3,07 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,08 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,10 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,14 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,5,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,5,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,5,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,5,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,2,16 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,5,18 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,4,18 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
MANHATTAN,1,02 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,02 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,4,03 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,03 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,06 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,2,09 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,1,03 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
QUEENS,1,03 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
QUEENS,3,03 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,2,06 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,1,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,1,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,2,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,1,09 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,1,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,9,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,12 BRONX,15I Street Condition Ice-Non Storm,Action Taken,ONLINE
BROOKLYN,0,12 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,07 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,3,02 STATEN ISLAND,15I Street Condition Ice-Non Storm,No Action Taken,ONLINE
BRONX,1,03 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,9,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,07 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,5,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,7,05 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,10,06 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,15,07 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,16,10 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,17,10 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,15,11 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,15,11 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,17,11 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,7,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,17,13 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,02 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,06 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,1,08 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
MANHATTAN,2,12 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,3,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,16,05 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
QUEENS,5,06 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,17,06 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,8,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,12,09 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
QUEENS,1,10 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,ONLINE
QUEENS,0,10 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,6,11 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
QUEENS,4,12 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,1,01 BRONX,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BRONX,1,07 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,0,09 BRONX,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,2,01 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,1,06 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,0,12 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,0,12 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,1,14 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,1,14 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,1,14 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,1,15 BROOKLYN,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
BROOKLYN,2,15 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,0,18 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,0,02 MANHATTAN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,0,10 MANHATTAN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,0,10 MANHATTAN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,0,10 MANHATTAN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BRONX,1,05 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,07 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,4,09 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,3,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,12,10 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,0,10 BRONX,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BRONX,0,10 BRONX,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,2,06 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,1,10 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
BROOKLYN,11,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
MANHATTAN,1,04 MANHATTAN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,1,07 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
MANHATTAN,1,08 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
MANHATTAN,3,12 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,7,10 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,2,11 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,12 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
MANHATTAN,6,05 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,07 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,1,06 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,1,04 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,08 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,2,08 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
BRONX,1,11 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,1,18 BROOKLYN,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,14 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,0,05 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,1,15 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,09 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,1,11 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BROOKLYN,3,07 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,2,10 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
QUEENS,1,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,2,14 QUEENS,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
BROOKLYN,0,05 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,1,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,13,15 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
MANHATTAN,17,04 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,1,08 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,05 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,04 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,1,18 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,07 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
QUEENS,0,07 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,2,06 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,12,08 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,0,01 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,01 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,01 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,01 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,05 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,07 QUEENS,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
QUEENS,0,07 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,07 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,09 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,2,09 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,13 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,13 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,14 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,0,14 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,14 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,04 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,2,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,9,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,7,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,5,09 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,6,10 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,10 QUEENS,15I Street Condition Ice-Non Storm,Action Taken,PHONE
QUEENS,1,11 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,2,02 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,02 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,5,02 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,2,03 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,5,03 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,05 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,05 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,06 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,1,08 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,1,08 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,09 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,09 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,0,09 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,0,09 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,12 BRONX,15I Street Condition Ice-Non Storm,Action Taken,ONLINE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,0,12 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,9,28 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,02 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,1,03 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,08 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,11 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,11 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,15 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,15 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,17 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,17 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,17 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BROOKLYN,0,18 BROOKLYN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,0,01 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
MANHATTAN,0,02 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,1,02 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
MANHATTAN,1,02 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,0,03 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,1,08 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,0,09 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
MANHATTAN,1,11 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
BRONX,0,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,10 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,5,10 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,1,10 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,0,10 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,ONLINE
BRONX,1,10 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,11 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,2,11 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,11 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,11 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,ONLINE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BRONX,3,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,0,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BRONX,3,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,0,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,5,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,0,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,2,01 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,ONLINE
BROOKLYN,2,01 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,4,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,4,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,6,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,7,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
BROOKLYN,3,02 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,ONLINE
